modelo_id,fold,mae,r2
46,3,0.9612252931010428,-0.037805263499639974
46,4,0.9706403838835406,-0.01147105471762444
46,5,0.8803683374315818,0.00426463271988109
47,1,0.8407651306797475,0.007075547365401169
47,2,0.9216138754486177,0.02425287548555277
47,3,0.9692676491835721,-0.024882021146595434
47,4,0.9482424669192001,0.044564595966991694
47,5,0.8956822552441209,0.003788429277440941
48,1,0.8483481773869264,-0.009351500047412475
48,2,0.9301927973225725,-0.005018195308342133
48,3,0.9658996318453839,-0.017497499878138756
48,4,0.9486480896916699,0.048409758449163176
48,5,0.887038834011091,0.007456688169699466
49,1,0.8387858094338771,-0.03440143643999227
49,2,0.9327455571551806,0.017629947901360077
49,3,0.9487147056130362,-0.003384507794520486
49,4,0.9523702312671056,0.0290293258404426
49,5,0.8961750053068288,-0.030467682799302898
50,1,0.8313011959757072,-0.016937750272323804
50,2,0.9366176490666653,0.026667248603899796
50,3,0.9431280949308276,0.006402543945000616
50,4,0.9578789168049267,0.034928809622964296
50,5,0.8906611625040259,-0.0166270365106036
51,1,0.855536404712101,-0.016181906646480115
51,2,0.9193037927172681,-0.00399081044951477
51,3,0.8930553001021794,0.02840720278194586
51,4,0.9528297090328918,0.04156316060205467
51,5,0.8660677092274367,0.05977895341911699
52,1,0.8554605676608181,-0.016727761945078745
52,2,0.9197311552454823,-0.003937658654407095
52,3,0.892800090024874,0.02813135769609887
52,4,0.9524624405823539,0.04082923385331427
52,5,0.8678262158529587,0.059735444262937976
53,1,0.8667473546070569,-0.05508044045389093
53,2,0.9221353623650933,0.015214363458071034
53,3,0.9365569553999585,-0.006848410729616505
53,4,0.9550770657033483,0.017695523219632414
53,5,0.8658832486648435,0.059557703441668
54,1,0.8693942377308527,-0.042959604532208706
54,2,0.9244881207283693,0.03114044755180545
54,3,0.9432754444696123,-0.03266127138961261
54,4,0.9508576367299548,0.027993352559444018
54,5,0.8637891235646222,0.061215170542998076
55,1,0.8501547322921386,-0.03984174252200545
55,2,0.9331033111320592,-0.01967390172733907
55,3,0.9335897634146618,-0.013626829249177685
55,4,0.9512651194074376,0.024339824190238835
55,5,0.8706792209049002,0.03167165363641178
56,1,0.850679495382993,-0.03924288629267392
56,2,0.9331140689285526,-0.018774724194591697
56,3,0.9372318282086362,-0.023340339263612675
56,4,0.9497519430567258,0.028201100387456268
56,5,0.8886318933912883,-0.007338983789962672
57,1,0.8437481935724307,-0.017138236203963153
57,2,0.9192223553115664,-0.0023821151965728316
57,3,0.9413797672052046,0.0012367268996644754
57,4,0.9388104471321199,0.0548627930352219
57,5,0.8812938186813483,0.030393209860835158
58,1,0.8429587818461937,-0.0164998749237244
58,2,0.9189510362152348,-0.0019551985912056313
58,3,0.9414105965879969,0.0011559742384653626
58,4,0.9386260515930926,0.054375973412146617
58,5,0.8962849061525071,0.005205484020413653
59,1,0.8514883484118008,-0.06753722331437473
59,2,0.9279173211438608,-0.01002836808533325
59,3,0.9149666487070258,0.031167153335924014
59,4,0.9496302728605016,0.04052861882129799
59,5,0.8874772551697699,-0.0001821962200809768
60,1,0.8746901424942692,-0.10803115680587627
60,2,0.9300343983461731,-0.01029206110688019
60,3,0.9149513393799487,0.03161323049734477
60,4,0.9494298800428463,0.04132077184400207
60,5,0.8877716278622377,-0.002537754849540441
61,1,0.8595706520190868,-0.01391180935804237
