ranking_mae,modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos,mae_promedio,mae_desvio,r2_promedio,r2_desvio,delta_mae_vs_base,delta_r2_vs_base,folds_mejora_mae_vs_base
15480,31684,fage + mage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,mage × sex_bin + sex_bin × mature_bin,8,2,10,0.9045306128911402,0.03493863519345709,0.02176722589058542,0.054171002144892205,0.004607327397769478,-0.010840166655561818,2
15481,1245,fage + visits + sex_bin + habit_bin,visits × sex_bin,4,1,5,0.904530722654371,0.03961582120241063,0.02366005009443284,0.040984610248061416,0.004607437161000205,-0.008947342451714399,2
15482,33239,fage + mage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,gained × sex_bin + gained × marital_bin,9,2,11,0.904531561390395,0.034922289314012214,0.026339762853654802,0.05763015970334927,0.004608275897024283,-0.006267629692492435,2
15483,29999,fage + mage + visits + gained + sex_bin + habit_bin + whitemom_bin + mature_bin,fage × whitemom_bin + sex_bin × mature_bin,8,2,10,0.9045322030181471,0.03735179172549755,0.026893003802357863,0.05770274584988283,0.004608917524776324,-0.005714388743789375,2
15484,20523,visits + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × mature_bin + marital_bin × mature_bin,6,2,8,0.9045323858306202,0.04117555745720049,0.03240168135518691,0.052047261686969,0.004609100337249483,-0.0002057111909603282,1
15485,17313,mage + visits + gained + sex_bin + habit_bin + marital_bin,mage × gained + sex_bin × habit_bin,6,2,8,0.9045336872588845,0.028802394118722974,0.014622724783386087,0.043132659182901475,0.00461040176551375,-0.01798466776276115,2
15486,15991,fage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin,fage × habit_bin + sex_bin × habit_bin,6,2,8,0.9045341170663725,0.04211692967792416,0.028415735455918356,0.038345373498394064,0.004610831573001795,-0.004191657090228881,2
15487,23036,fage + mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin,fage × visits + sex_bin × habit_bin,7,2,9,0.9045344307106576,0.0401129953195802,0.03141254226116343,0.05918885748570646,0.004611145217286894,-0.0011948502849838047,2
15488,10024,visits + sex_bin + habit_bin + whitemom_bin + mature_bin,visits × whitemom_bin + sex_bin × mature_bin,5,2,7,0.9045358159894406,0.037415582959951704,0.030968184919939846,0.04639330607940461,0.0046125304960698,-0.0016392076262073917,2
15489,23269,fage + mage + visits + sex_bin + habit_bin + marital_bin + mature_bin,fage × visits + sex_bin × marital_bin,7,2,9,0.9045362683466049,0.0375211667529335,0.020360936370733152,0.0444590030191237,0.004612982853234193,-0.012246456175414085,2
15490,9249,mage + sex_bin + marital_bin + whitemom_bin + mature_bin,mage × mature_bin + whitemom_bin × mature_bin,5,2,7,0.9045369052947236,0.04062417712773353,0.021521904921290535,0.040375718420426386,0.004613619801352886,-0.011085487624856703,1
